12,288,4
34,288,2
40,288,2
71,288,5
134,288,2
146,288,5
213,288,2
214,288,4
225,288,1
252,288,3
288,298,4
288,358,2
288,445,4
288,475,1
288,507,4
288,583,4
288,619,4
288,664,4
288,706,5
288,891,3
288,894,1
288,942,1
288,1009,5
288,1016,1
288,1069,2
288,1075,2
288,1328,1
288,1778,1
288,1828,1
288,1897,2
288,2016,1
288,2126,2
288,2129,2
288,2151,3
288,2361,4
288,2509,3
288,2557,1
288,2753,4
288,2885,5
13,1766,1
24,1766,5
84,1766,4
285,1766,5
545,1766,3
694,1766,3
707,1766,1
879,1766,5
1345,1766,2
1521,1766,5
1766,2439,3
1766,2917,3
1,134,3
10,134,2
12,134,2
13,134,1
14,134,4
51,134,2
71,134,4
83,134,4
100,134,1
131,134,2
134,146,1
134,158,5
134,161,5
134,170,3
134,196,2
134,234,5
134,277,5
134,278,5
134,285,1
134,288,2
134,294,2
134,494,2
134,496,4
134,561,2
134,720,2
134,767,3
134,859,5
134,956,5
134,1013,3
134,1098,2
134,1107,1
134,1137,4
134,1275,5
134,1474,3
134,1499,5
134,1722,2
134,1728,4
134,1780,2
134,1798,4
134,1869,4
134,1887,2
134,1935,2
134,2105,3
134,2116,5
134,2171,3
134,2288,1
134,2440,5
134,2572,2
134,2637,5
134,2683,3
134,2774,3
134,2881,5
8,1022,5
14,1022,5
69,1022,5
112,1022,5
206,1022,4
383,1022,5
520,1022,1
542,1022,5
560,1022,4
993,1022,4
1022,1145,2
1022,1358,4
1022,1407,4
1022,1429,3
1022,2580,1
12,482,4
21,482,2
83,482,2
87,482,3
110,482,1
196,482,3
208,482,3
310,482,1
331,482,3
396,482,2
482,531,2
482,601,1
482,633,2
482,641,2
482,671,3
482,773,3
482,1168,5
482,1375,3
482,1447,3
482,1462,4
482,1479,1
482,1714,2
482,1962,1
482,2088,2
482,2106,5
482,2151,2
482,2383,2
482,2568,5
482,2649,1
482,2678,3
482,2775,5
47,1002,4
107,1002,5
150,1002,4
190,1002,3
195,1002,3
354,1002,5
368,1002,2
615,1002,2
659,1002,4
769,1002,1
1002,1165,2
1002,2535,2
1002,2557,1
17,519,3
27,519,3
71,519,1
87,519,2
88,519,5
113,519,1
205,519,2
252,519,4
403,519,2
437,519,1
519,605,4
519,713,4
519,716,4
519,984,1
519,1079,1
519,1109,5
519,1333,4
519,1539,3
519,1560,5
519,1659,3
519,1709,1
519,1962,5
519,2077,5
519,2147,5
519,2253,4
519,2936,2
519,2991,3
5,2601,5
12,2601,3
14,2601,1
107,2601,5
269,2601,5
371,2601,2
594,2601,5
1266,2601,2
1841,2601,1
2042,2601,1
8,2298,2
72,2298,2
513,2298,4
1030,2298,3
1044,2298,3
1232,2298,2
1432,2298,1
1454,2298,3
2274,2298,3
2284,2298,2
10,757,2
57,757,1
76,757,4
122,757,2
227,757,5
266,757,1
295,757,4
348,757,4
435,757,2
474,757,5
757,919,3
757,935,2
757,1340,5
757,1431,5
757,1715,3
757,2589,2
5,378,4
12,378,5
13,378,3
14,378,5
37,378,5
44,378,5
65,378,2
130,378,5
300,378,5
310,378,5
378,417,2
378,488,4
378,518,1
378,743,4
378,882,5
378,929,3
378,1030,3
378,1262,5
378,1488,3
378,1559,1
378,1719,2
378,1849,1
378,1861,1
378,1902,3
378,2059,2
378,2157,3
378,2479,2
378,2489,1
378,2528,3
378,2544,4
378,2827,1
10,1279,1
15,1279,1
28,1279,3
137,1279,1
181,1279,3
202,1279,1
264,1279,1
808,1279,3
1018,1279,3
1135,1279,1
1279,2450,4
1,367,4
11,367,4
27,367,5
39,367,1
128,367,2
198,367,5
230,367,1
266,367,1
279,367,4
356,367,3
367,420,4
367,440,4
367,450,3
367,479,3
367,480,3
367,587,1
367,633,3
367,634,1
367,651,3
367,680,3
367,769,4
367,782,4
